City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,castro,-24.7911,-50.0119,12.08,98,100,4.78,BR,1686623226
1,severo-kurilsk,50.6789,156.125,8.96,88,100,0.44,RU,1686623069
2,chernyshevskiy,63.0128,112.4714,15.68,31,2,1.08,RU,1686623226
3,comodoro rivadavia,-45.8667,-67.5,7.92,34,0,6.17,AR,1686623226
4,busselton,-33.65,115.3333,15.52,74,100,6.74,AU,1686623044
5,thika,-1.0333,37.0693,15.76,95,7,1.59,KE,1686623227
6,urucara,-2.5364,-57.76,24.5,93,62,0.32,BR,1686623227
7,vaini,-21.2,-175.2,23.09,78,75,0.51,TO,1686623227
8,kavieng,-2.5744,150.7967,29.26,74,66,4.81,PG,1686623227
9,ushuaia,-54.8,-68.3,4.81,75,20,10.8,AR,1686623227
10,hobart,-42.8794,147.3294,12.92,79,0,3.09,AU,1686623227
11,labuhan,-6.8844,112.2051,27.76,76,53,2.16,ID,1686623227
12,rikitea,-23.1203,-134.9692,22.01,64,8,1.44,PF,1686623227
13,lexington,37.9887,-84.4777,15.62,82,8,3.71,US,1686622971
14,lorengau,-2.0226,147.2712,29.78,73,45,4.64,PG,1686623228
15,pandaria,22.2333,81.4167,36.36,30,52,3.95,IN,1686623228
16,cidreira,-30.1811,-50.2056,9.15,68,80,3.67,BR,1686623228
17,mataura,-46.1927,168.8643,11.22,87,80,0.69,NZ,1686623228
18,sangar,63.9242,127.4739,15.54,30,100,2.13,RU,1686623228
19,sao francisco do sul,-26.2433,-48.6381,12.95,94,75,1.03,BR,1686623228
20,tuktoyaktuk,69.4541,-133.0374,18.0,52,75,4.12,CA,1686623229
21,punta arenas,-53.15,-70.9167,6.06,70,20,6.17,CL,1686623229
22,khatanga,71.9667,102.5,13.58,54,100,2.93,RU,1686623229
23,riyadh,24.6877,46.7219,31.08,18,8,3.98,SA,1686623210
24,port alfred,-33.5906,26.891,13.66,66,100,6.32,ZA,1686623229
25,ancud,-41.8697,-73.8203,4.75,90,41,2.61,CL,1686623229
26,rio viejo,8.5874,-73.839,25.7,92,100,0.22,CO,1686623229
27,avarua,-21.2078,-159.775,26.03,83,100,7.72,CK,1686623229
28,srednekolymsk,67.45,153.6833,5.61,53,100,9.41,RU,1686623229
29,mahebourg,-20.4081,57.7,23.47,94,40,2.06,MU,1686623230
30,omsukchan,62.5333,155.8,17.69,63,97,8.26,RU,1686623230
31,tiksi,71.6872,128.8694,2.2,96,100,3.0,RU,1686623230
32,rumoi,43.9344,141.6428,16.92,93,97,2.0,JP,1686623230
33,hilo,19.7297,-155.09,26.81,75,81,3.58,US,1686623221
34,chinsali,-10.5414,32.0816,14.09,74,41,1.2,ZM,1686623230
35,hermanus,-34.4187,19.2345,16.0,86,100,13.14,ZA,1686623230
36,dikson,73.5069,80.5464,-1.2,88,33,5.98,RU,1686623230
37,esmeraldas,-19.7625,-44.3139,20.48,54,20,1.67,BR,1686623230
38,staryy nadym,65.6118,72.6842,4.07,57,100,7.08,RU,1686623231
39,kapaa,22.0752,-159.319,27.99,80,20,6.69,US,1686623231
40,tezu,27.9167,96.1667,27.71,78,78,0.82,IN,1686623231
41,neftcala,39.3742,49.2472,23.94,79,14,2.53,AZ,1686623231
42,nikolskoye,59.7035,30.7861,12.11,61,9,1.72,RU,1686623231
43,namatanai,-3.6667,152.4333,29.35,74,26,3.81,PG,1686623231
44,puerto ayora,-0.7393,-90.3518,26.42,92,73,4.02,EC,1686623231
45,leshukonskoye,64.8989,45.7622,14.39,64,100,4.03,RU,1686623232
46,codrington,-38.2667,141.9667,12.77,75,100,6.92,AU,1686623232
47,geraldton,-28.7667,114.6,16.23,59,0,5.66,AU,1686623232
48,hasaki,35.7333,140.8333,24.22,88,98,6.23,JP,1686623232
49,chokurdakh,70.6333,147.9167,3.67,50,100,8.81,RU,1686623059
50,bethel,41.3712,-73.414,19.75,89,100,2.06,US,1686623042
51,atuona,-9.8,-139.0333,27.12,74,40,9.0,PF,1686623232
52,port elizabeth,-33.918,25.5701,13.16,65,0,3.6,ZA,1686623232
53,bluff,-46.6,168.3333,11.43,83,82,3.62,NZ,1686623232
54,hithadhoo,-0.6,73.0833,28.73,71,54,4.16,MV,1686623233
55,truth or consequences,33.1284,-107.2528,28.13,8,0,5.66,US,1686623233
56,avera,33.194,-82.5271,22.83,68,3,2.9,US,1686623233
57,sitka,57.0531,-135.33,11.94,62,75,6.17,US,1686623233
58,dicabisagan,17.0818,122.4157,32.15,63,87,5.3,PH,1686623233
59,ponta do sol,32.6667,-17.1,19.35,84,92,0.28,PT,1686623233
60,bonfim,3.0833,-59.95,25.44,81,27,1.84,BR,1686623233
61,forbes,-33.3833,148.0167,17.73,47,0,6.13,AU,1686623233
62,saint-georges,12.0564,-61.7485,27.82,89,40,3.6,GD,1686623233
63,lompoc,34.6391,-120.4579,18.34,83,100,2.06,US,1686623234
64,albany,42.6001,-73.9662,20.74,80,100,0.45,US,1686622852
65,yurla,59.3259,54.3223,9.94,64,52,2.99,RU,1686623234
66,santa cruz,-17.8,-63.1667,13.7,54,100,9.26,BO,1686623234
67,sycow,51.3081,17.7198,9.35,89,6,3.11,PL,1686623234
68,wilmington,34.2257,-77.9447,24.44,84,0,5.66,US,1686623234
69,cootamundra,-34.65,148.0333,12.19,63,54,5.8,AU,1686623234
70,ribeira grande,38.5167,-28.7,18.76,97,8,1.34,PT,1686623234
71,tequila,20.8833,-103.8333,28.29,33,5,2.94,MX,1686623234
72,airai,-8.9266,125.4092,21.04,41,100,2.15,TL,1686623235
73,bosaso,11.2842,49.1816,33.23,45,100,7.77,SO,1686623235
74,mar del plata,-38.0023,-57.5575,7.27,90,40,1.54,AR,1686623067
75,meulaboh,4.1363,96.1285,27.81,72,49,1.46,ID,1686623235
76,bolotnoye,55.6717,84.3981,12.29,65,100,1.34,RU,1686623235
77,alvorada,-12.48,-49.1247,24.86,45,15,0.78,BR,1686623235
78,hokitika,-42.7167,170.9667,12.95,57,15,1.06,NZ,1686623235
79,san rafael,-34.6177,-68.3301,4.74,30,0,2.84,AR,1686623236
80,sargur,11.9833,76.4167,22.96,82,100,3.59,IN,1686623207
81,launceston,-41.45,147.1667,14.78,77,100,3.6,AU,1686623067
82,kodiak,57.79,-152.4072,13.73,47,20,6.17,US,1686623236
83,puerto ayacucho,5.6639,-67.6236,24.87,90,95,1.64,VE,1686623236
